Star ID, Accel ID, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, X Accel, Y Accel, Z Accel
3,42,1.72695164,-0.2166589,-6.133353137,0.026987963,-0.009984456,-2.322448561,-4.59E-15,-1.10E-15,8.81E-16
3,43,1.729650436,-0.217657346,-6.365597993,0.026987963,-0.009984456,-2.322448561,-4.24E-15,-9.89E-16,1.31E-15
3,44,1.732349233,-0.218655791,-6.597842849,0.026987963,-0.009984456,-2.322448561,-3.77E-15,-8.51E-16,1.59E-15
3,45,1.735048029,-0.219654237,-6.830087705,0.026987963,-0.009984456,-2.322448561,-3.28E-15,-7.29E-16,1.74E-15
3,46,1.737746825,-0.220652683,-7.062332561,0.026987963,-0.009984456,-2.322448561,-2.84E-15,-5.60E-16,1.84E-15
3,47,1.740445621,-0.221651128,-7.294577417,0.026987963,-0.009984456,-2.322448561,-2.42E-15,-4.50E-16,1.73E-15
3,48,1.743144418,-0.222649574,-7.526822273,0.026987963,-0.009984456,-2.322448561,-2.09E-15,-3.71E-16,1.55E-15
3,49,1.745843214,-0.22364802,-7.759067129,0.026987963,-0.009984456,-2.322448561,-1.83E-15,-2.97E-16,1.40E-15
3,50,1.74854201,-0.224646465,-7.991311985,0.026987963,-0.009984456,-2.322448561,-1.62E-15,-2.38E-16,1.25E-15
3,51,1.751240806,-0.225644911,-8.223556841,0.026987963,-0.009984456,-2.322448561,-1.48E-15,-1.95E-16,9.97E-16
3,52,1.753939603,-0.226643356,-8.455801698,0.026987963,-0.009984456,-2.322448561,-1.36E-15,-1.57E-16,8.63E-16
3,53,1.756638399,-0.227641802,-8.688046554,0.026987963,-0.009984456,-2.322448561,-1.26E-15,-1.25E-16,7.48E-16
3,54,1.759337195,-0.228640248,-8.92029141,0.026987963,-0.009984456,-2.322448561,-1.16E-15,-1.08E-16,6.00E-16
3,55,1.762035991,-0.229638693,-9.152536266,0.026987963,-0.009984456,-2.322448561,-1.10E-15,-8.51E-17,5.14E-16
3,56,1.764734788,-0.230637139,-9.384781122,0.026987963,-0.009984456,-2.322448561,-1.08E-15,-9.20E-17,5.09E-16
3,57,1.767433584,-0.231635585,-9.617025978,0.026987963,-0.009984456,-2.322448561,-1.04E-15,-7.71E-17,4.38E-16
3,58,1.77013238,-0.23263403,-9.849270834,0.026987963,-0.009984456,-2.322448561,-1.01E-15,-5.86E-17,3.91E-16
